X,Y,Z,Temperature_C,Pressure_Pa,V_Mag_ms,Power_W_Input
0.051,0.026,0.011,20.944,227628.812,8.264,68.000
0.048,0.000,0.004,24.042,-9566.977,0.572,68.000
0.051,0.022,0.011,21.535,219312.156,8.130,68.000
0.002,0.012,0.013,20.835,211746.375,7.531,68.000
0.049,0.017,0.013,20.626,239278.062,7.753,68.000
0.048,0.018,0.012,18.797,239608.812,9.435,68.000
0.043,0.001,0.006,21.182,112869.617,1.680,68.000
0.044,0.000,0.003,18.304,62883.867,0.051,68.000
0.050,0.010,0.014,18.469,225328.219,7.386,68.000
0.051,0.007,0.012,22.162,262108.906,7.552,68.000
0.049,0.008,0.014,21.603,253103.219,8.123,68.000
0.097,0.012,0.012,21.028,209062.156,6.806,68.000
0.050,0.000,0.005,27.459,-48311.582,1.726,68.000
0.051,0.011,0.012,20.555,212452.000,7.641,68.000
0.048,0.009,0.011,21.337,259574.781,8.710,68.000
0.050,0.003,0.011,21.827,276420.656,5.507,68.000
0.044,0.001,0.018,22.717,150543.219,2.054,68.000
0.050,0.022,0.014,22.886,245159.344,7.287,68.000
0.051,0.017,0.011,20.630,214119.625,8.061,68.000
0.046,0.002,0.009,23.499,241961.125,3.668,68.000
0.056,0.001,0.012,22.624,206633.625,3.952,68.000
0.099,0.013,0.011,23.336,205893.438,7.966,68.000
0.048,0.009,0.012,21.190,277158.969,9.191,68.000
0.051,0.026,0.011,20.612,229273.719,8.263,68.000
0.047,0.000,0.004,21.965,32485.508,0.323,68.000
0.050,0.020,0.012,20.626,233884.438,8.650,68.000
0.048,0.008,0.010,20.824,266236.531,8.069,68.000
0.051,0.018,0.013,21.342,222523.281,7.102,68.000
0.052,0.001,0.012,27.520,230128.000,4.159,68.000
0.098,0.011,0.013,20.948,202198.312,5.984,68.000
0.052,0.014,0.012,22.536,200188.594,6.297,68.000
0.051,0.000,0.005,24.565,45326.227,1.846,68.000
0.050,0.001,0.015,26.464,197384.250,3.010,68.000
0.052,0.000,0.020,21.969,51188.992,1.335,68.000
0.049,0.016,0.013,20.402,224881.500,6.996,68.000
0.047,0.001,0.013,22.941,253467.625,4.690,68.000
0.050,0.008,0.014,20.010,246129.125,7.900,68.000
0.048,0.001,0.011,22.808,268762.938,4.153,68.000
0.052,0.006,0.011,19.963,269918.188,6.697,68.000
0.051,0.016,0.014,21.414,221387.312,6.213,68.000
0.049,0.010,0.011,20.966,252407.812,8.885,68.000
0.048,0.002,0.007,22.296,228804.812,3.454,68.000
0.048,0.020,0.013,21.676,259429.625,8.384,68.000
0.047,0.001,0.016,22.993,187355.594,2.889,68.000
0.051,0.021,0.013,22.350,235875.406,7.241,68.000
0.049,0.022,0.014,22.958,236858.938,7.756,68.000
0.050,0.023,0.011,21.354,222065.656,8.984,68.000
0.044,0.001,0.019,21.195,156192.625,2.205,68.000
0.051,0.026,0.010,19.850,228016.125,8.451,68.000
0.046,0.001,0.012,28.110,127432.914,1.942,68.000
0.048,0.001,0.001,20.489,172574.594,1.920,68.000
0.049,0.025,0.012,21.200,228133.719,9.274,68.000
0.052,0.001,0.019,22.077,188718.656,2.678,68.000
0.051,0.017,0.011,20.720,212286.000,7.877,68.000
0.049,0.018,0.014,22.033,250249.406,7.496,68.000
0.051,0.025,0.011,21.303,220943.500,8.258,68.000
0.047,0.001,0.007,27.171,103458.477,2.110,68.000
0.050,0.001,0.004,20.861,198163.531,1.998,68.000
0.044,0.001,0.011,22.907,214490.656,2.664,68.000
0.056,0.000,0.010,27.697,2718.578,2.323,68.000
0.050,0.000,0.021,21.665,5636.648,-2.353,68.000
0.049,0.008,0.015,19.083,237662.125,7.168,68.000
0.050,0.018,0.012,20.127,222399.781,8.082,68.000
0.051,0.009,0.015,17.964,231542.125,7.040,68.000
0.001,0.013,0.012,21.005,220481.312,7.759,68.000
0.049,0.025,0.010,19.332,223626.281,9.251,68.000
0.099,0.012,0.011,22.294,206989.688,7.289,68.000
0.051,0.012,0.014,19.229,218734.125,7.213,68.000
0.054,0.000,0.013,33.262,-21382.055,-1.981,68.000
0.049,0.024,0.013,21.715,233407.438,8.789,68.000
0.050,0.000,0.011,32.289,27247.383,5.440,68.000
0.054,0.001,0.019,22.384,185645.812,2.390,68.000
0.043,0.001,0.019,20.810,130611.945,1.458,68.000
0.050,0.009,0.011,20.927,272361.812,8.869,68.000
0.058,0.001,0.018,21.622,138084.469,-0.190,68.000
0.048,0.000,0.012,29.410,57491.070,1.062,68.000
0.049,0.007,0.010,20.649,288811.156,8.154,68.000
0.045,0.002,0.016,22.410,174086.688,2.863,68.000
0.050,0.000,0.009,34.182,-60643.379,0.043,68.000
0.043,0.001,0.014,19.332,198224.312,3.503,68.000
0.049,0.010,0.012,20.453,258786.156,9.208,68.000
0.049,0.025,0.014,22.393,230459.688,8.651,68.000
0.048,0.002,0.012,23.246,262408.375,5.243,68.000
0.047,0.000,0.021,21.028,55798.930,0.841,68.000
0.045,0.001,0.013,25.398,221443.000,3.890,68.000
