X,Y,Z,Temperature_C,Pressure_Pa,V_Mag_ms,Power_W_Input
0.051,0.026,0.011,21.441,172512.000,6.265,52.000
0.048,0.000,0.004,20.112,4348.969,1.143,52.000
0.051,0.022,0.011,19.441,178461.594,7.060,52.000
0.002,0.012,0.013,19.684,115078.727,5.683,52.000
0.049,0.017,0.013,20.829,160685.000,7.063,52.000
0.048,0.018,0.012,20.178,195969.125,7.201,52.000
0.043,0.001,0.006,22.215,111995.523,1.142,52.000
0.044,0.000,0.003,18.010,29633.930,0.715,52.000
0.050,0.010,0.014,22.990,184967.812,5.189,52.000
0.051,0.007,0.012,21.788,171502.188,5.824,52.000
0.049,0.008,0.014,22.784,172953.938,5.732,52.000
0.097,0.012,0.012,21.437,129402.086,6.563,52.000
0.050,0.000,0.005,23.074,-11747.133,1.033,52.000
0.051,0.011,0.012,23.129,156717.000,5.289,52.000
0.048,0.009,0.011,22.904,173493.531,6.468,52.000
0.050,0.003,0.011,23.286,132036.281,3.884,52.000
0.044,0.001,0.018,22.386,167872.812,2.459,52.000
0.050,0.022,0.014,19.207,188737.312,8.161,52.000
0.051,0.017,0.011,18.505,167653.625,6.230,52.000
0.046,0.002,0.009,23.503,125821.539,2.003,52.000
0.056,0.001,0.012,20.336,151742.250,2.254,52.000
0.099,0.013,0.011,21.101,109788.008,6.659,52.000
0.048,0.009,0.012,24.340,167576.531,6.305,52.000
0.051,0.026,0.011,21.598,171566.656,6.162,52.000
0.047,0.000,0.004,23.679,-22822.945,0.120,52.000
0.050,0.020,0.012,19.624,180828.875,7.759,52.000
0.048,0.008,0.010,21.954,188797.969,6.088,52.000
0.051,0.018,0.013,20.396,156919.656,6.741,52.000
0.052,0.001,0.012,24.184,126044.617,3.112,52.000
0.098,0.011,0.013,21.920,147623.500,6.110,52.000
0.052,0.014,0.012,20.949,140150.719,4.946,52.000
0.051,0.000,0.005,23.954,-29455.461,0.029,52.000
0.050,0.001,0.015,24.263,129415.945,3.967,52.000
0.052,0.000,0.020,22.284,1585.430,-0.682,52.000
0.049,0.016,0.013,21.538,163747.219,6.292,52.000
0.047,0.001,0.013,22.214,144044.688,4.294,52.000
0.050,0.008,0.014,21.810,174135.219,5.278,52.000
0.048,0.001,0.011,23.777,123219.508,2.859,52.000
0.052,0.006,0.011,22.519,139412.781,5.150,52.000
0.051,0.016,0.014,21.281,162063.469,5.792,52.000
0.049,0.010,0.011,23.251,170193.406,6.541,52.000
0.048,0.002,0.007,23.174,137802.000,1.922,52.000
0.048,0.020,0.013,19.573,187791.781,7.575,52.000
0.047,0.001,0.016,21.364,163473.375,4.197,52.000
0.051,0.021,0.013,20.313,173522.000,8.119,52.000
0.049,0.022,0.014,19.820,194469.281,7.894,52.000
0.050,0.023,0.011,20.451,185309.781,7.386,52.000
0.044,0.001,0.019,20.941,163006.688,2.726,52.000
0.051,0.026,0.010,21.674,166614.000,6.129,52.000
0.046,0.001,0.012,25.927,16760.836,0.028,52.000
0.048,0.001,0.001,24.402,65936.242,0.293,52.000
0.049,0.025,0.012,20.210,183078.312,7.353,52.000
0.052,0.001,0.019,21.138,126243.602,3.543,52.000
0.051,0.017,0.011,18.710,167122.125,6.607,52.000
0.049,0.018,0.014,20.302,168350.688,7.432,52.000
0.051,0.025,0.011,20.929,177489.094,6.505,52.000
0.047,0.001,0.007,26.884,32741.180,1.055,52.000
0.050,0.001,0.004,22.993,106303.258,0.768,52.000
0.044,0.001,0.011,23.747,104363.992,2.269,52.000
0.056,0.000,0.010,24.426,-16915.242,0.392,52.000
0.050,0.000,0.021,19.379,19140.180,-1.894,52.000
0.049,0.008,0.015,21.825,162294.000,5.486,52.000
0.050,0.018,0.012,19.187,170275.781,7.228,52.000
0.051,0.009,0.015,21.570,178613.094,4.848,52.000
0.001,0.013,0.012,19.338,109454.398,6.505,52.000
0.049,0.025,0.010,21.985,165177.094,6.681,52.000
0.099,0.012,0.011,21.287,125508.102,6.878,52.000
0.051,0.012,0.014,22.775,161674.438,5.346,52.000
0.054,0.000,0.013,30.764,2291.664,0.836,52.000
0.049,0.024,0.013,20.061,187431.500,7.427,52.000
0.050,0.000,0.011,28.896,51636.398,0.770,52.000
0.054,0.001,0.019,20.252,109829.164,2.642,52.000
0.043,0.001,0.019,20.615,139662.781,1.790,52.000
0.050,0.009,0.011,22.928,181030.156,6.726,52.000
0.058,0.001,0.018,20.465,88965.773,-0.821,52.000
0.048,0.000,0.012,25.382,-8778.156,-1.489,52.000
0.049,0.007,0.010,21.709,195293.750,5.846,52.000
0.045,0.002,0.016,20.596,176130.312,3.670,52.000
0.050,0.000,0.009,29.059,-148101.562,-1.368,52.000
0.043,0.001,0.014,18.647,173772.031,3.411,52.000
0.049,0.010,0.012,23.402,169403.125,6.066,52.000
